file,index,novelty,split
route_6_route_episode_0136.npz,68,5.822640741826035e-05,validation data(straight route)
route_6_route_episode_0136.npz,69,5.810492439195514e-05,validation data(straight route)
route_6_route_episode_0136.npz,70,5.8801004342967644e-05,validation data(straight route)
route_6_route_episode_0136.npz,71,5.945778684690595e-05,validation data(straight route)
route_6_route_episode_0136.npz,72,6.0352282162057236e-05,validation data(straight route)
route_6_route_episode_0136.npz,73,5.792306546936743e-05,validation data(straight route)
route_6_route_episode_0136.npz,74,5.784452150692232e-05,validation data(straight route)
route_6_route_episode_0136.npz,75,5.902977136429399e-05,validation data(straight route)
route_6_route_episode_0136.npz,76,6.168850813992321e-05,validation data(straight route)
route_6_route_episode_0136.npz,77,6.674862379441038e-05,validation data(straight route)
route_6_route_episode_0136.npz,78,6.82696481817402e-05,validation data(straight route)
route_6_route_episode_0136.npz,79,7.238297985168174e-05,validation data(straight route)
route_6_route_episode_0136.npz,80,7.568588625872508e-05,validation data(straight route)
route_6_route_episode_0136.npz,81,8.059888205025345e-05,validation data(straight route)
route_6_route_episode_0136.npz,82,8.486885053571314e-05,validation data(straight route)
route_6_route_episode_0136.npz,83,8.867470023687929e-05,validation data(straight route)
route_6_route_episode_0136.npz,84,9.169060649583116e-05,validation data(straight route)
route_6_route_episode_0136.npz,85,9.708117431728169e-05,validation data(straight route)
route_6_route_episode_0136.npz,86,0.00010264624143019319,validation data(straight route)
route_6_route_episode_0136.npz,87,0.00010525441030040383,validation data(straight route)
route_6_route_episode_0136.npz,88,0.00010701750579755753,validation data(straight route)
route_6_route_episode_0136.npz,89,0.00010808038496179506,validation data(straight route)
route_6_route_episode_0136.npz,90,0.00010929564450634643,validation data(straight route)
route_6_route_episode_0136.npz,91,0.00011099544644821435,validation data(straight route)
route_6_route_episode_0136.npz,92,0.00010994560580002144,validation data(straight route)
route_6_route_episode_0136.npz,93,0.00011276622535660863,validation data(straight route)
route_6_route_episode_0136.npz,94,0.00011197139247087762,validation data(straight route)
route_6_route_episode_0136.npz,95,0.00011260868632234633,validation data(straight route)
route_6_route_episode_0136.npz,96,0.00011172173981321976,validation data(straight route)
route_6_route_episode_0136.npz,97,0.0001091348021873273,validation data(straight route)
route_6_route_episode_0136.npz,98,0.0001073648891178891,validation data(straight route)
route_6_route_episode_0136.npz,99,0.00010934582678601146,validation data(straight route)
route_6_route_episode_0136.npz,100,0.00011125634046038613,validation data(straight route)
route_6_route_episode_0136.npz,101,0.00011020719102816656,validation data(straight route)
route_6_route_episode_0136.npz,102,0.00011104776785941795,validation data(straight route)
